,Name,Code,Sector
647,유니켐,011330,Consumer Cyclical
648,유니온,000910,Basic Materials
649,화승코퍼레이션,013520,Consumer Cyclical
650,인천도시가스,034590,Utilities
651,한국무브넥스,010100,Consumer Cyclical
652,CJ우,001045,Industrials
653,삼익악기,002450,Technology
654,한국화장품제조,003350,Consumer Defensive
655,대구백화점,006370,Consumer Cyclical
656,이지스레지던스리츠,350520,Real Estate
657,콤텍시스템,031820,Technology
658,한국화장품,123690,Consumer Defensive
659,삼일제약,000520,Healthcare
660,크라운제과,264900,Consumer Defensive
661,한진중공업홀딩스,003480,Industrials
662,대유플러스,000300,Technology
663,플레이그램,009810,Industrials
664,고려산업,002140,Consumer Defensive
665,동방,004140,Industrials
666,무림페이퍼,009200,Basic Materials
667,HL D&I,014790,Industrials
668,SG세계물산,004060,Consumer Cyclical
669,에이플러스에셋,244920,Financial Services
670,미래산업,025560,Technology
671,현대코퍼레이션홀딩스,227840,Consumer Defensive
672,DRB동일,004840,Consumer Cyclical
673,모나리자,012690,Consumer Defensive
674,화성산업,002460,Industrials
675,엔에이치스팩19호,380440,Financial Services
676,미래에셋글로벌리츠,396690,Real Estate
677,지투알,035000,Communication Services
678,보락,002760,Basic Materials
679,KC코트렐,119650,Industrials
680,제일연마,001560,Industrials
681,금비,008870,Consumer Cyclical
682,지엠비코리아,013870,Consumer Cyclical
683,기신정기,092440,Industrials
684,깨끗한나라,004540,Basic Materials
685,신송홀딩스,006880,Industrials
686,일신석재,007110,Industrials
687,대현,016090,Consumer Cyclical
688,팜젠사이언스,004720,Healthcare
689,인팩,023810,Consumer Cyclical
690,신영와코루,005800,Consumer Cyclical
691,남광토건,001260,Industrials
692,한신공영,004960,Industrials
693,유유제약,000220,Healthcare
694,평화산업,090080,Consumer Cyclical
695,삼성공조,006660,Consumer Cyclical
696,크라운해태홀딩스,005740,Consumer Defensive
697,유니드비티플러스,446070,Etc
698,사조씨푸드,014710,Consumer Defensive
699,동일고무벨트,163560,Consumer Cyclical
700,삼호개발,010960,Industrials
701,국제약품,002720,Healthcare
702,한세엠케이,069640,Consumer Cyclical
703,대동전자,008110,Industrials
704,KC그린홀딩스,009440,Industrials
705,한화솔루션우,009835,Basic Materials
706,휴니드,005870,Technology
707,명문제약,017180,Healthcare
708,동방아그로,007590,Basic Materials
709,대호에이엘,069460,Basic Materials
710,대원전선,006340,Industrials
711,마스턴프리미어리츠,357430,Real Estate
712,다스코,058730,Basic Materials
713,한일철강,002220,Basic Materials
714,조광페인트,004910,Basic Materials
715,씨아이테크,004920,Technology
716,텔코웨어,078000,Communication Services
717,마니커,027740,Consumer Defensive
718,화천기계,010660,Industrials
719,세원정공,021820,Consumer Cyclical
720,SH에너지화학,002360,Basic Materials
721,화승알앤에이,378850,Consumer Cyclical
722,새론오토모티브,075180,Consumer Cyclical
723,상상인증권,001290,Financial Services
724,진양산업,003780,Consumer Cyclical
725,SJM,123700,Consumer Cyclical
726,화천기공,000850,Industrials
727,코스맥스비티아이,044820,Consumer Defensive
728,한솔홈데코,025750,Consumer Cyclical
729,SK우,03473K,Technology
730,오리엔트바이오,002630,Healthcare
731,조비,001550,Basic Materials
732,대우부품,009320,Consumer Cyclical
733,써니전자,004770,Technology
734,에이엔피,015260,Technology
735,두산2우B,000157,Industrials
736,KH 필룩스,033180,Industrials
737,보해양조,000890,Consumer Defensive
738,상신브레이크,041650,Consumer Cyclical
739,이건산업,008250,Basic Materials
740,NH프라임리츠,338100,Etc
741,대유에이텍,002880,Consumer Cyclical
742,까뮤이앤씨,013700,Industrials
743,서울식품,004410,Consumer Defensive
744,하이스틸,071090,Basic Materials
745,혜인,003010,Industrials
746,유성기업,002920,Consumer Cyclical
747,한창제지,009460,Basic Materials
748,범양건영,002410,Industrials
749,DSR,155660,Consumer Cyclical
750,사조오양,006090,Consumer Defensive
751,국보,001140,Industrials
752,SJM홀딩스,025530,Consumer Cyclical
753,솔루스첨단소재1우,33637K,Technology
754,영보화학,014440,Basic Materials
755,케이비아이동국실업,001620,Consumer Cyclical
756,엔케이,085310,Industrials
757,아센디오,012170,Communication Services
758,인터지스,129260,Industrials
759,우성,006980,Consumer Defensive
760,호전실업,111110,Consumer Cyclical
761,부산산업,011390,Basic Materials
762,한국종합기술,023350,Industrials
763,태평양물산,007980,Consumer Cyclical
764,한솔로지스틱스,009180,Industrials
765,영흥,012160,Basic Materials
766,남성,004270,Technology
767,인디에프,014990,Consumer Cyclical
